Pol,Lokacija,Other,Godine,Koliko dugo se profesionalno baviš programiranjem?,HTML/CSS,C,C++,C#,Java,Javascript,PHP,Python,Objective-C,Swift,Ruby,SQL,Scala,Other,Koliko godina radiš sa HTML/CSS-om?,Koliko godina radiš sa C-om?,Koliko godina radiš sa C#-om?,ASP.NET,.NET,Unity,Other,Koliko godina radiš sa C++-om?,Koliko dugo radiš sa Javom?,Android,JEE,Spring,Scala,Grails,Play,Other,Koliko dugo radiš sa JS-om?,AngularJS,BackboneJS,React,Node,Other,Express,Hapi,Other,Koliko dugo radiš sa PHPom?,WordPress,Drupal,Magento,Zend,Laravel,Other,Koliko dugo radiš sa Pythonom?,Koliko dugo radiš sa Objective-C?,Koliko dugo radiš sa Swiftom?,Koliko dugo radiš sa Rubyjem?,Koliko dugo radiš sa Scalom?,Koliko dugo radiš sa SQLom?,Koliko dugo radiš sa drugim jezikom koji si naveo?,Označi platformu sa kojom si dominantno radio/la do sada?,HTML/CSS,C,C++,C#,Node,Java,Javascript,PHP,Python,Objective-C,Swift,Ruby,SQL,Scala,Go,Other,U koju grupu developera (ili softverskih inženjera) sebe ubrajaš?,Da li koristiš nešto za verzionisanje koda?,SVN,Git,Mercurial,Aerial,Other,Atom,Eclipse,IntelliJ,Netbeans,Sublime,Visual Studio,PHP Storm,Other,Windows,Mac OS,Linux,Unix,Other,Formalno obrazovanje — da li si završio/la fakultet ili višu školu?,Šta si studirao/la?,Other,Šta si završio/la?,Other,formalno obrazovanje,kursevi i obuke,samostalno učenje i praksa,praksa i učenje uz iskusnije kolege,Da li praviš/učestvuješ u open source projektima?,Koliko sati nedeljno posvećuješ open-source projektima?,Gde su postavljeni ovi projekti?,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,Other,Pročitao/la segment ili celu knjigu o programiranju?,Pogledao/la neki video tutorijal?,Pohađao/la kurs?,Posetio/la programerski događaj?,Da li poseduješ neki sertifikat za tehnologiju u kojoj radiš?,Koliko sertifikata poseduješ?,Kada si dobio/la poslednji sertifikat?,Da li su uticali na tvoje zaposlenje/angažman?,A na novčanu nadoknadu?,Trenutno zaposlenje,Australija,Afrika,Azija,Zapadna Evropa,Istočna Evropa,Centralna Evropa,Severna Amerika,Južna Amerika,Other,Na koji način dominantno dolaziš do klijenata?,Other,Elance,Freelance,UpWork (bivši ODesk),Other,Koliko zaposlenih ima tvoja firma?,Pre preduzetništva dominantno si bio/la,usluge za klijente,sopstveni proizvodi za lok/reg tržište,sopstveni proizvodi za globalno tržište,Koji je iznos plate za koju radiš?,Koja je tvoja pozicija na poslu?,U koliko firmi si radio/la do sada?,Da li i koliko u proseku frilensuješ (radiš za novac) sa strane?,Koliko zaposlenih ima tvoja firma?,usluge za klijente,sopstveni proizvodi,domaće,strano,mešovito,ne znam,strano,domaće,Standardno zaposlenje (Ugovor o radu),Preko preduzetničke agencije,Ugovor o delu,Autorski ugovor,"Na virtuelni račun (PayPal, Skrill, Payoneer)",Stažiram uz nadoknadu,Volontiram,"Deo na ruke, deo po Ugovoru",Dobijam keš na ruke,Other,Koliki je iznos nadoknade za koju radiš?,Koliko dana odmora dobijaš?,"Koliko sati, prosečno, traje tvoj radni dan?",Da li si plaćen/a za prekovremeni rad?,fleksibilno radno vreme,kompanijski automobil,plaćena odsustva,plaćene obuke i treninge,ručak na poslu,mogućnost predlaganja sopstvenih projekata,dodatno zdravstveno i/ili penziono osiguranje,Other,Koliko si zadovoljan/a trenutnim poslom?,Koji je dominantan razlog zbog kojeg si promenio poslednje radno mesto?,Da li planiraš u budućnosti da pokreneš svoj biznis?,Šta misliš da je najizvesnije da ćeš pokrenuti?,Other,Šta je to na čemu radiš?,Other,Da li imaš neko mišljenje o srpskoj dev sceni koje bi želeo da podeliš sa nama? Da li imaš neko mišljenje o tome kako bi mogla da se unapredi?,source,Start Date (UTC),Submit Date (UTC)
Muški,Beograd,,33,7,HTML/CSS,,,C#,Java,Javascript,,,,,,SQL,,,5,,7,ASP.NET,.NET,,,,1,Android,,,,,,,5,AngularJS,BackboneJS,,,,,,,,,,,,,,,,,,,7,,standalone,,,,,,,Javascript,,,,,,,,,,,Koristim,,Git,,,tfs,,,,,,Visual Studio,,web storm,Windows,,,,,"Da, fakultet",,,ETF,,4,4,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,,Radeći solo projekte u novim tehnologijama,,Kroz kompaniju u kojoj radim,,Tokom prethodnog meseca,U proteklih 6 meseci,U proteklih 6 meseci,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,,do 5h nedeljno,50,,sopstveni proizvodi,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,Više od 5000€,20,8,ne,fleksibilno radno vreme,,,,,,,,,,"možda, ako se pojavi dobra prilika",,,,,,,10/8/2015 9:32:52,10/8/2015 9:38:47
Muški,Beograd,,42,16,HTML/CSS,,,C#,Java,Javascript,,,,,,SQL,,,20,,10,ASP.NET,.NET,,,,10,,,,,,,jee,,,BackboneJS,,,,,,,,,,,,,,,,,,,16,,web,,,,,,,,,,,,,,Scala,,,,Koristim,SVN,Git,,,,,,IntelliJ,Netbeans,,Visual Studio,,,Windows,,Linux,,,"Da, fakultet",,,,GRF,2,3,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,Na događajima,Kroz knjige,Kroz video tutorijale,,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,U protekla 3 meseca,U protekla 3 meseca,Pre više od godinu dana,Tokom prethodnog meseca,da,1,Pre više od godinu dana,ne,ne,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,jedna od vodećih u kompaniji,,ne frilensujem,90,usluge za klijente,,,,mešovito,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,2000-2500€,20,9,da,fleksibilno radno vreme,,,plaćene obuke i treninge,,,dodatno zdravstveno i/ili penziono osiguranje,,,,"možda, ako se pojavi dobra prilika",,,,,,,10/9/2015 7:51:34,10/9/2015 8:00:43
Muški,Novi Sad,,31,8,,,,,,Javascript,,,,,Ruby,,,,,,,,,,,,,,,,,,,,8,AngularJS,BackboneJS,,,,,,,,,,,,,,,,,9,,,,web,,,,,,,,,,,,,,,Go,,,Koristim,,Git,,,,Atom,,,,,,,,,Mac OS,Linux,,,"Da, master",,,,,4,1,5,3,ne,,,,Prateći blogove i onlajn magazine,,Na događajima,Kroz knjige,,,,Kroz kompaniju u kojoj radim,,Tokom prethodnog meseca,Tokom prethodnog meseca,U proteklih 6 meseci,U protekla 3 meseca,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,13,,,,sopstveni proizvodi za globalno tržište,1500-1700€,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/9/2015 9:55:41,10/9/2015 10:02:31
Muški,Beograd,,32,14,,,,,,,,Python,,,,,,GoLang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standalone,,,,,,,,,,,,,,,Go,,,Koristim,SVN,Git,,,TFS,Atom,,,,,,,,Windows,,Linux,,,"Da, višu školu",,,,,3,3,5,5,ne,,,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,Na događajima,,,,,Kroz kompaniju u kojoj radim,,U protekla 3 meseca,Pre više od godinu dana,Nikada,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,vođa tima,3,od 5 do 10h nedeljno,200,,sopstveni proizvodi,,strano,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,"1,400€",24,10,da,fleksibilno radno vreme,,plaćena odsustva,plaćene obuke i treninge,,,,,4,,"da, planiram",,konsalting,,,Da razmenjuju ideje i iskustva,,10/11/2015 12:42:52,10/11/2015 12:48:37
Muški,Beograd,,28,5,,,,C#,Java,,,Python,,,,SQL,,,,,3,,.NET,,,,3,,,Spring,,,,,,,,,,,,,,,,,,,,,8,,,,,5,,web,,,,,,,,,Python,,Swift,,,,Go,,,Koristim,,Git,,,,,,IntelliJ,,Sublime,,,,,Mac OS,Linux,,,"Da, fakultet",,,FTN,,4,4,5,5,da,2-4 sata,github,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,Na događajima,,,,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,Tokom prethodnog meseca,Tokom prethodnog meseca,U toku prethodnih godinu dana,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,2,ne frilensujem,100,,sopstveni proizvodi,,,mešovito,,strano,,,Preko preduzetničke agencije,,,,,,,,,2000-2500€,20,10,ne,fleksibilno radno vreme,,plaćena odsustva,plaćene obuke i treninge,ručak na poslu,,,,5,,"možda, ako se pojavi dobra prilika",,,,,,,10/11/2015 13:38:06,10/11/2015 13:43:38
Muški,Novi Sad,,34,6,HTML/CSS,,,,,Javascript,PHP,,,,,,,,10,,,,,,,,,,,,,,,,6,AngularJS,BackboneJS,React,,,,,,8,,Drupal,,,,,,,,,,,,web,HTML/CSS,,,,,,Javascript,,,,,,,,,,,Koristim,,Git,,,,,,,,Sublime,,,PHPStorm,,Mac OS,Linux,,,Nisam,,,,,1,1,5,5,da,više od 10 sati,github,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,Na drutšvenim mrežama,,,,,,,,Pre više od godinu dana,Tokom prethodnog meseca,Nikada,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,član tima,5,od 5 do 10h nedeljno,10,,sopstveni proizvodi,,strano,,,strano,,,Preko preduzetničke agencije,,,,,,,,,4000-5000€,10,10,ne,fleksibilno radno vreme,,,plaćene obuke i treninge,,mogućnost predlaganja sopstvenih projekata,,,5,,"da, planiram",startap / proizvod za globalno tržište,,,,Dev scena nam je super!,,10/11/2015 13:29:45,10/11/2015 13:45:24
Muški,Beograd,,23,4,HTML/CSS,,,,,,,Python,,,,SQL,Scala,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,,web,,,,,,,,,Python,,,,SQL,Scala,,,,Koristim,,Git,,,,,,,,Sublime,,,PyCharm,,Mac OS,Linux,Unix,,Još uvek studiram,FON,,,/,1,3,5,5,da,2-4 sata,github,,Prateći blogove i onlajn magazine,,,,Kroz video tutorijale,,,Kroz kompaniju u kojoj radim,,U protekla 3 meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,Tokom prethodnog meseca,ne,,,,,Zaposlen/a,,,,,,,,,,,,,,,,,,,,,,jedna od vodećih u kompaniji,2,ne frilensujem,4,usluge za klijente,sopstveni proizvodi,domaće,,,,strano,,Standardno zaposlenje (Ugovor o radu),,,,,,,,,,"1,000€",30,16,ne,fleksibilno radno vreme,,,,,,,,5,,već sam pokrenuo/la,,,startap / proizvod za globalno tržište,,/,,10/11/2015 20:35:03,10/11/2015 20:41:25
Muški,Beograd,,33,7,HTML/CSS,,,,,,PHP,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,7,WordPress,,,,,,,,,,,,,web,HTML/CSS,,,,,,Javascript,,,,Swift,,,,,,,Ne koristim,,,,,,,,,,,,,stagod,,Mac OS,,,,Studirao i nikad završio/la,,,,,1,1,5,2,ne,,,,,,,,,,,,nikako,Nikada,Nikada,Nikada,U protekla 3 meseca,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,8,,usluge za klijente,sopstveni proizvodi za lok/reg tržište,sopstveni proizvodi za globalno tržište,"1,200€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeeee,,10/11/2015 21:12:10,10/11/2015 21:15:13
Muški,Beograd,,40,15,HTML/CSS,,,,,Javascript,PHP,,,,,,,,15,,,,,,,,,,,,,,,,15,,,,,jQuery,,,,15,,,,,Laravel,,,,,,,,,web,,,,,,,,,,,Swift,,,,,,,Koristim,,Git,,,,,,,,Sublime,,,,,Mac OS,,,,Nisam,,,,,1,3,5,5,da,2-4 sata,github,,Prateći blogove i onlajn magazine,,,,Kroz video tutorijale,,,Kroz kompaniju u kojoj radim,,U proteklih 6 meseci,U protekla 3 meseca,Pre više od godinu dana,U protekla 3 meseca,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,11,,usluge za klijente,,,2000-2500€,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bolje povezati razlicite dev organizacije i vise promovisati ucenje medju svim ucesnicima dev scene, pogotovo kroz open source ili side projects.",,10/12/2015 7:52:46,10/12/2015 8:00:56
Muški,Beograd,,23,4,HTML/CSS,,,,Java,Javascript,PHP,Python,,,,SQL,Scala,,4,,,,,,,,4,,,,Scala,,,Spark,3,AngularJS,,,,,,,,3,WordPress,,,,,,4,,,,4,4,,web,,,,,,,,,,,,,,,Go,,,Koristim,,Git,,,,,,,,Sublime,,,Emacs,,,Linux,,,"Da, fakultet",,,FON,,2,4,5,5,da,2-4 sata,bitbucket,Razgovorajući sa prijateljima i kolegama,Prateći blogove i onlajn magazine,,Na događajima,,,Radeći solo projekte u novim tehnologijama,Trudim se da ih inkorporiram u projekte na kojima radim,Kroz kompaniju u kojoj radim,,Pre više od godinu dana,Tokom prethodnog meseca,Pre više od godinu dana,Tokom prethodnog meseca,ne,,,,,Samozaposlen/a: (su)vlasnik svoje firme,,,,,,,,,,,,,,,,2,,usluge za klijente,,sopstveni proizvodi za globalno tržište,"1,000€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2015 20:06:50,10/12/2015 20:14:38
